# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_ncdm[2]        17:(.)p_ncdm[2]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       1.000000000000e+14       7.558492937080e-26       4.634785000235e-09       2.157548999540e+22       1.406357407903e+04       1.406357407903e-10       1.406357407903e+18       2.675954378383e-09       2.751560535470e+44       2.474533724663e+33       1.296237315302e+34       6.331505145965e+43       2.110501715322e+43       6.331505145965e+43       2.110501715322e+43       6.331505145965e+43       2.110501715322e+43       3.514163029955e-08       4.005606003904e+41       4.655017685418e+44       4.655017685418e+44       1.551672561754e+44      -1.339123833291e+53       6.513122808328e-20       2.000000000000e+14 
       9.930486593843e+13       7.664682204354e-26       4.667526809499e-09       2.127657538778e+22       1.406357407903e+04       1.416201909758e-10       1.396581338533e+18       2.694686059032e-09       2.675846458098e+44       2.423287629965e+33       1.269393025589e+34       6.157282531445e+43       2.052427510482e+43       6.157282531445e+43       2.052427510482e+43       6.157282531445e+43       2.052427510482e+43       3.514163029955e-08       3.895384637160e+41       4.526926602320e+44       4.526926602320e+44       1.508975534056e+44      -1.293222901225e+53       9.086605785765e-08       1.433565615564e+02 
       9.861456399050e+13       7.772363324642e-26       4.700268618762e-09       2.098180205077e+22       1.406357407903e+04       1.426115323126e-10       1.386873225951e+18       2.713548861445e-09       2.602215788102e+44       2.373102810849e+33       1.243104664856e+34       5.987853961739e+43       1.995951320580e+43       5.987853961739e+43       1.995951320580e+43       5.987853961739e+43       1.995951320580e+43       3.514163029955e-08       3.788196207173e+41       4.402360172979e+44       4.402360172979e+44       1.467453390944e+44      -1.248895308019e+53       1.817321157152e-07       7.167828077820e+01 
       9.792906056653e+13       7.881557256990e-26       4.733010428026e-09       2.069111260972e+22       1.406357407903e+04       1.436098130388e-10       1.377232597767e+18       2.732543703475e-09       2.530611196824e+44       2.323957288943e+33       1.217360720152e+34       5.823087520186e+43       1.941029173395e+43       5.823087520186e+43       1.941029173395e+43       5.823087520186e+43       1.941029173395e+43       3.514163029955e-08       3.683957257301e+41       4.281221410282e+44       4.281221410282e+44       1.427073803379e+44      -1.206087124589e+53       2.725981735728e-07       4.778552051880e+01 
       9.724832231036e+13       7.992285254894e-26       4.765752237290e-09       2.040445048486e+22       1.406357407903e+04       1.446150817301e-10       1.367658984873e+18       2.751671509399e-09       2.460976933110e+44       2.275829541029e+33       1.192149916951e+34       5.662854920044e+43       1.887618306681e+43       5.662854920044e+43       1.887618306681e+43       5.662854920044e+43       1.887618306681e+43       3.514163029955e-08       3.582586627356e+41       4.163415995892e+44       4.163415995892e+44       1.387805331917e+44      -1.164746270372e+53       3.634642314303e-07       3.583914038910e+01 
       9.657231609767e+13       8.104568870440e-26       4.798494046554e-09       2.012175988031e+22       1.406357407903e+04       1.456273873022e-10       1.358151921423e+18       2.770933209965e-09       2.393258779894e+44       2.228698489625e+33       1.167461214215e+34       5.507031404613e+43       1.835677134871e+43       5.507031404613e+43       1.835677134871e+43       5.507031404613e+43       1.835677134871e+43       3.514163029955e-08       3.484005390419e+41       4.048852206807e+44       4.048852206807e+44       1.349617402223e+44      -1.124822449959e+53       4.543302892879e-07       2.867131231128e+01 
       9.590100903443e+13       8.218429958500e-26       4.833054845221e-09       1.984298577318e+22       1.406357407903e+04       1.466467790133e-10       1.348710944809e+18       2.790329742435e-09       2.327404011992e+44       2.182543493751e+33       1.143283799559e+34       5.355495650090e+43       1.785165216697e+43       5.355495650090e+43       1.785165216697e+43       5.355495650090e+43       1.785165216697e+43       3.514163029955e-08       3.388136791385e+41       3.937440843947e+44       3.937440843947e+44       1.312480281270e+44      -1.086267091913e+53       5.451963471454e-07       2.389276025940e+01 
       9.523436845525e+13       8.333890680987e-26       4.867615643889e-09       1.956807390292e+22       1.406357407903e+04       1.476733064664e-10       1.339335595640e+18       2.809862050632e-09       2.263361355047e+44       2.137344339886e+33       1.119607084518e+34       5.208129671117e+43       1.736043223706e+43       5.208129671117e+43       1.736043223706e+43       5.208129671117e+43       1.736043223706e+43       3.514163029955e-08       3.294906187201e+41       3.829095162702e+44       3.829095162702e+44       1.276365054190e+44      -1.049033289667e+53       6.360624050029e-07       2.047950879377e+01 
       9.457236192179e+13       8.450973511164e-26       4.900357453153e-09       1.929697076071e+22       1.406357407903e+04       1.487070196117e-10       1.330025417716e+18       2.829531084986e-09       2.201080945604e+44       2.093081233122e+33       1.096420699904e+34       5.064818728910e+43       1.688272909637e+43       5.064818728910e+43       1.688272909637e+43       5.064818728910e+43       1.688272909637e+43       3.514163029955e-08       3.204240988754e+41       3.723730805396e+44       3.723730805396e+44       1.241243601755e+44      -1.013075744467e+53       7.269284628605e-07       1.791957019455e+01 
       9.391495722125e+13       8.569701238023e-26       4.934918251820e-09       1.902962357905e+22       1.406357407903e+04       1.497479687490e-10       1.320779958010e+18       2.849337802581e-09       2.140514292293e+44       2.049734788491e+33       1.073714491273e+34       4.925451241925e+43       1.641817080642e+43       4.925451241925e+43       1.641817080642e+43       4.925451241925e+43       1.641817080642e+43       3.514163029955e-08       3.116070604344e+41       3.621265735603e+44       3.621265735603e+44       1.207088578492e+44      -9.783507102558e+52       8.177945207180e-07       1.592850683960e+01 
       9.326212236469e+13       8.690096970716e-26       4.969479050487e-09       1.876598032151e+22       1.406357407903e+04       1.507962045302e-10       1.311598766643e+18       2.869283167199e-09       2.081614238068e+44       2.007286022475e+33       1.051478514471e+34       4.789918698987e+43       1.596639566329e+43       4.789918698987e+43       1.596639566329e+43       4.789918698987e+43       1.596639566329e+43       3.514163029955e-08       3.030326384731e+41       3.521620174274e+44       3.521620174274e+44       1.173873391383e+44      -9.448159404522e+52       9.086605785755e-07       1.433565615564e+01 
       9.261382558559e+13       8.812184143057e-26       5.004039849155e-09       1.850598967261e+22       1.406357407903e+04       1.518517779619e-10       1.302481396865e+18       2.889368149369e-09       2.024334923495e+44       1.965716344693e+33       1.029703031280e+34       4.658115574795e+43       1.552705191598e+43       4.658115574795e+43       1.552705191598e+43       4.658115574795e+43       1.552705191598e+43       3.514163029955e-08       2.946941569679e+41       3.424716537626e+44       3.424716537626e+44       1.141572179168e+44      -9.124306365548e+52       9.995266364330e-07       1.303241468694e+01 
       9.197003533823e+13       8.935986518083e-26       5.040419637226e-09       1.824960102777e+22       1.406357407903e+04       1.529147404077e-10       1.293427405030e+18       2.909593726415e-09       1.968631751041e+44       1.925007549760e+33       1.008378505158e+34       4.529939247766e+43       1.509979749255e+43       4.529939247766e+43       1.509979749255e+43       4.529939247766e+43       1.509979749255e+43       3.514163029955e-08       2.865851235979e+41       3.330479376727e+44       3.330479376727e+44       1.110159792202e+44      -8.811553985059e+52       1.090392694290e-06       1.194638012970e+01 
       9.133072029615e+13       9.061528192675e-26       5.074980435893e-09       1.799676448354e+22       1.406357407903e+04       1.539851435905e-10       1.284436350576e+18       2.929960882499e-09       1.914461350357e+44       1.885141809315e+33       9.874955970558e+33       4.405289920131e+43       1.468429973377e+43       4.405289920131e+43       1.468429973377e+43       4.405289920131e+43       1.468429973377e+43       3.514163029955e-08       2.786992246900e+41       3.238835318761e+44       3.238835318761e+44       1.079611772881e+44      -8.509521767569e+52       1.181258752148e-06       1.102742781203e+01 
       9.069584935070e+13       9.188833602254e-26       5.109541234560e-09       1.774743082784e+22       1.406357407903e+04       1.550630395956e-10       1.275507796004e+18       2.950470608677e-09       1.861781544502e+44       1.846101664209e+33       9.670451613326e+33       4.284070540235e+43       1.428023513412e+43       4.284070540235e+43       1.428023513412e+43       4.284070540235e+43       1.428023513412e+43       3.514163029955e-08       2.710303203030e+41       3.149713009891e+44       3.149713009891e+44       1.049904336592e+44      -8.217842259779e+52       1.272124810005e-06       1.023975439688e+01 
       9.006539160943e+13       9.317927525532e-26       5.145921022631e-09       1.750155153040e+22       1.406357407903e+04       1.561484808728e-10       1.266641306856e+18       2.971123902937e-09       1.810551317112e+44       1.807870016863e+33       9.470182417471e+33       4.166186726970e+43       1.388728908990e+43       4.166186726970e+43       1.388728908990e+43       4.166186726970e+43       1.388728908990e+43       3.514163029955e-08       2.635724394471e+41       3.063043059711e+44       3.063043059711e+44       1.021014353199e+44      -7.936160603523e+52       1.362990867863e-06       9.557104103757e+00 
       8.943931639467e+13       9.448835089338e-26       5.182300810702e-09       1.725907873327e+22       1.406357407903e+04       1.572415202389e-10       1.257836451694e+18       2.991921770258e-09       1.760730780460e+44       1.770430123778e+33       9.274060675366e+33       4.051546696296e+43       1.350515565432e+43       4.051546696296e+43       1.350515565432e+43       4.051546696296e+43       1.350515565432e+43       3.514163029955e-08       2.563197754348e+41       2.978757987213e+44       2.978757987213e+44       9.929193290343e+43      -7.664134104054e+52       1.453856925720e-06       8.959785097272e+00 
       8.881759324197e+13       9.581581773507e-26       5.218680598773e-09       1.701996524160e+22       1.406357407903e+04       1.583422108806e-10       1.249092802079e+18       3.012865222650e-09       1.712281144399e+44       1.733765588203e+33       9.082000495757e+33       3.940061189768e+43       1.313353729923e+43       3.940061189768e+43       1.313353729923e+43       3.940061189768e+43       1.313353729923e+43       3.514163029955e-08       2.492666813600e+41       2.896792168252e+44       2.896792168252e+44       9.655973893811e+43      -7.401431813118e+52       1.544722983578e-06       8.432738915079e+00 
       8.820019189868e+13       9.716193415843e-26       5.255060386844e-09       1.678416451434e+22       1.406357407903e+04       1.594506063568e-10       1.240409932552e+18       3.033955279208e-09       1.665164686165e+44       1.697860352953e+33       8.893917766142e+33       3.831643405051e+43       1.277214468350e+43       3.831643405051e+43       1.277214468350e+43       3.831643405051e+43       1.277214468350e+43       3.514163029955e-08       2.424076657013e+41       2.817081784443e+44       2.817081784443e+44       9.390272614458e+43      -7.147734126319e+52       1.635589041435e-06       7.964253419797e+00 
       8.758708232243e+13       9.852696217142e-26       5.291440174915e-09       1.655163065526e+22       1.406357407903e+04       1.605667606013e-10       1.231787420607e+18       3.055192966162e-09       1.619344721000e+44       1.662698693378e+33       8.709730115943e+33       3.726208928328e+43       1.242069642776e+43       3.726208928328e+43       1.242069642776e+43       3.726208928328e+43       1.242069642776e+43       3.514163029955e-08       2.357373880462e+41       2.739564773482e+44       2.739564773482e+44       9.131882577929e+43      -6.902732394291e+52       1.726455099293e-06       7.545082187176e+00 
       8.697823467967e+13       9.991116746296e-26       5.329638952389e-09       1.632231840401e+22       1.406357407903e+04       1.616907279255e-10       1.223224846681e+18       3.076579316925e-09       1.574785573594e+44       1.628265210477e+33       8.529356880423e+33       3.623675668578e+43       1.207891889526e+43       3.623675668578e+43       1.207891889526e+43       3.623675668578e+43       1.207891889526e+43       3.514163029955e-08       2.292506549332e+41       2.664180780818e+44       2.664180780818e+44       8.880602602388e+43      -6.666128547192e+52       1.817321157150e-06       7.167828077817e+00 
       8.637361934426e+13       1.013148194546e-25       5.366018740460e-09       1.609618312725e+22       1.406357407903e+04       1.628225630209e-10       1.214721794122e+18       3.098115372144e-09       1.531452550306e+44       1.594544824152e+33       8.352719065365e+33       3.523963793660e+43       1.174654597887e+43       3.523963793660e+43       1.174654597887e+43       3.523963793660e+43       1.174654597887e+43       3.514163029955e-08       2.229424158081e+41       2.590871112661e+44       2.590871112661e+44       8.636237041873e+43      -6.437634732073e+52       1.908187215007e-06       6.826502931254e+00 
       8.577320689599e+13       1.027381913532e-25       5.404217517935e-09       1.587318081006e+22       1.406357407903e+04       1.639623209621e-10       1.206277849177e+18       3.119802179749e-09       1.489311912151e+44       1.561522766604e+33       8.179739312474e+33       3.426995668159e+43       1.142331889386e+43       3.426995668159e+43       1.142331889386e+43       3.426995668159e+43       1.142331889386e+43       3.514163029955e-08       2.168077590915e+41       2.519578690287e+44       2.519578690287e+44       8.398595633967e+43      -6.216972962672e+52       1.999053272865e-06       6.516207343469e+00 
       8.517696811915e+13       1.041815602035e-25       5.440597306006e-09       1.565326804726e+22       1.406357407903e+04       1.651100572088e-10       1.197892600971e+18       3.141640795007e-09       1.448330848536e+44       1.529184575868e+33       8.010341865497e+33       3.332695792934e+43       1.110898597645e+43       3.332695792934e+43       1.110898597645e+43       3.332695792934e+43       1.110898597645e+43       3.514163029955e-08       2.108419083552e+41       2.450248005595e+44       2.450248005595e+44       8.167493351664e+43      -6.003874781219e+52       2.089919330722e-06       6.232893980710e+00 
       8.458487400115e+13       1.056452069428e-25       5.478796083480e-09       1.543640203507e+22       1.406357407903e+04       1.662658276093e-10       1.189565641480e+18       3.163632280572e-09       1.408477451704e+44       1.497516089476e+33       7.844452537049e+33       3.240990746336e+43       1.080330248779e+43       3.240990746336e+43       1.080330248779e+43       3.240990746336e+43       1.080330248779e+43       3.514163029955e-08       2.050402186026e+41       2.382825077884e+44       2.382825077884e+44       7.942750259303e+43      -5.798080931829e+52       2.180785388580e-06       5.973190064847e+00 
       8.399689573103e+13       1.071294164551e-25       5.518813850358e-09       1.522254056271e+22       1.406357407903e+04       1.674296884025e-10       1.181296565522e+18       3.185777706535e-09       1.369720691902e+44       1.466503438257e+33       7.681998676119e+33       3.151809127046e+43       1.050603042349e+43       3.151809127046e+43       1.050603042349e+43       3.151809127046e+43       1.050603042349e+43       3.514163029955e-08       1.993981726525e+41       2.317257411834e+44       2.317257411834e+44       7.724191372474e+43      -5.599341045085e+52       2.271651446437e-06       5.734262462253e+00 
       8.341300469814e+13       1.086344776269e-25       5.557012627833e-09       1.501164200420e+22       1.406357407903e+04       1.686016962214e-10       1.173084970727e+18       3.208078150481e-09       1.332030393213e+44       1.436133040261e+33       7.522909136257e+33       3.065081498477e+43       1.021693832826e+43       3.065081498477e+43       1.021693832826e+43       3.065081498477e+43       1.021693832826e+43       3.514163029955e-08       1.939113776221e+41       2.253493956621e+44       2.253493956621e+44       7.511646521772e+43      -5.407413333447e+52       2.362517504294e-06       5.513713906012e+00 
       8.283317249071e+13       1.101606834031e-25       5.595211405307e-09       1.480366531025e+22       1.406357407903e+04       1.697819080949e-10       1.164930457524e+18       3.230534697534e-09       1.295377210063e+44       1.406391594813e+33       7.367114244410e+33       2.980740334714e+43       9.935801115712e+42       2.980740334714e+43       9.935801115712e+42       2.980740334714e+43       9.935801115712e+42       3.514163029955e-08       1.885755615064e+41       2.191485066180e+44       2.191485066180e+44       7.304950220308e+43      -5.222064297085e+52       2.453383562152e-06       5.309502279863e+00 
       8.225737089444e+13       1.117083308442e-25       5.635229172185e-09       1.459857000032e+22       1.406357407903e+04       1.709703814516e-10       1.156832629120e+18       3.253148440417e-09       1.259732604377e+44       1.377266076687e+33       7.214545770414e+33       2.898719967937e+43       9.662399893124e+42       2.898719967937e+43       9.662399893124e+42       2.898719967937e+43       9.662399893124e+42       3.514163029955e-08       1.833865698523e+41       2.131182460543e+44       2.131182460543e+44       7.103941534857e+43      -5.043068439806e+52       2.544249620009e-06       5.119877198439e+00 
       8.168557189121e+13       1.132777211842e-25       5.673427949660e-09       1.439631615467e+22       1.406357407903e+04       1.721671741217e-10       1.148791091480e+18       3.275920479500e-09       1.225068823353e+44       1.348743730401e+33       7.065136897109e+33       2.818956537294e+43       9.396521790981e+42       2.818956537294e+43       9.396521790981e+42       2.818956537294e+43       9.396521790981e+42       3.514163029955e-08       1.783403625239e+41       2.072539188251e+44       2.072539188251e+44       6.908463960557e+43      -4.870207994712e+52       2.635115677866e-06       4.943329708838e+00 
