# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_ncdm[2]        17:(.)p_ncdm[2]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       1.000000000000e+14       6.366695223037e-26       3.903551260009e-09       2.561426030796e+22       1.389086530606e+04       1.389086530606e-10       1.389086530606e+18       2.254018902940e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       6.352995997803e+43       2.117665332601e+43       6.352995997803e+43       2.117665332601e+43       6.352995997803e+43       2.117665332601e+43       3.421715905403e-08       1.903443976270e+44       6.560903311239e+44       6.560903311239e+44       2.186967770360e+44      -2.240702470205e+53       8.689880661743e-20       2.000000000000e+14 
       9.930486593843e+13       6.456140924225e-26       3.930836101063e-09       2.525939112209e+22       1.389086530606e+04       1.398810136320e-10       1.379430516987e+18       2.269797035260e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       6.178182024308e+43       2.059394008103e+43       6.178182024308e+43       2.059394008103e+43       6.178182024308e+43       2.059394008103e+43       3.421715905403e-08       1.851067333040e+44       6.380368398586e+44       6.380368398586e+44       2.126789466144e+44      -2.163898272335e+53       1.212345018240e-07       1.433565615564e+02 
       9.861456399050e+13       6.546843248070e-26       3.958120942116e-09       2.490943842170e+22       1.389086530606e+04       1.408601807275e-10       1.369841625608e+18       2.285685614507e-09       2.602215788102e+44       2.350908324129e+33       1.284505918930e+34       6.008178367919e+43       2.002726122640e+43       6.008178367919e+43       2.002726122640e+43       6.008178367919e+43       2.002726122640e+43       3.421715905403e-08       1.800131926217e+44       6.204801224846e+44       6.204801224846e+44       2.068267074898e+44      -2.089726679592e+53       2.424690036479e-07       7.167828077820e+01 
       9.792906056653e+13       6.638819848862e-26       3.987224772573e-09       2.456433409205e+22       1.389086530606e+04       1.418462019925e-10       1.360319389879e+18       2.301685413809e-09       2.530611196824e+44       2.302222436600e+33       1.257904579330e+34       5.842852664215e+43       1.947617554738e+43       5.842852664215e+43       1.947617554738e+43       5.842852664215e+43       1.947617554738e+43       3.421715905403e-08       1.750598097619e+44       6.034065093857e+44       6.034065093857e+44       2.011355031236e+44      -2.018097454593e+53       3.637035054718e-07       4.778552051881e+01 
       9.724832231036e+13       6.732088628918e-26       4.014509613626e-09       2.422401096204e+22       1.389086530606e+04       1.428391254065e-10       1.350863346454e+18       2.317797211705e-09       2.460976933110e+44       2.254544804314e+33       1.231854137361e+34       5.682076191016e+43       1.894025397005e+43       5.682076191016e+43       1.894025397005e+43       5.682076191016e+43       1.894025397005e+43       3.421715905403e-08       1.702427280332e+44       5.868027070892e+44       5.868027070892e+44       1.956009023582e+44      -1.948923453009e+53       4.849380072956e-07       3.583914038911e+01 
       9.657231609767e+13       6.826667742066e-26       4.041794454679e-09       2.388840279123e+22       1.389086530606e+04       1.438389992843e-10       1.341473035207e+18       2.334021792187e-09       2.393258779894e+44       2.207854546917e+33       1.206343184268e+34       5.525723768159e+43       1.841907922720e+43       5.525723768159e+43       1.841907922720e+43       5.525723768159e+43       1.841907922720e+43       3.421715905403e-08       1.655581968676e+44       5.706557879161e+44       5.706557879161e+44       1.902185959673e+44      -1.882120517542e+53       6.061725091195e-07       2.867131231128e+01 
       9.590100903443e+13       6.922575597174e-26       4.070898285136e-09       2.355744425687e+22       1.389086530606e+04       1.448458722793e-10       1.332147999213e+18       2.350359944732e-09       2.327404011992e+44       2.162131216471e+33       1.181360547562e+34       5.373673660039e+43       1.791224553346e+43       5.373673660039e+43       1.791224553346e+43       5.373673660039e+43       1.791224553346e+43       3.421715905403e-08       1.610025689010e+44       5.549531799155e+44       5.549531799155e+44       1.849843933005e+44      -1.817607375540e+53       7.274070109433e-07       2.389276025940e+01 
       9.523436845525e+13       7.019830861739e-26       4.100002115592e-09       2.323107094122e+22       1.389086530606e+04       1.458597933853e-10       1.322887784720e+18       2.366812464345e-09       2.263361355047e+44       2.117354788506e+33       1.156895286131e+34       5.225807480822e+43       1.741935826941e+43       5.225807480822e+43       1.741935826941e+43       5.225807480822e+43       1.741935826941e+43       3.421715905403e-08       1.565722971329e+44       5.396826570759e+44       5.396826570759e+44       1.798942190207e+44      -1.755305540121e+53       8.486415127672e-07       2.047950879377e+01 
       9.457236192179e+13       7.118452465515e-26       4.127286956646e-09       2.290921931901e+22       1.389086530606e+04       1.468808119390e-10       1.313691941132e+18       2.383380151596e-09       2.201080945604e+44       2.073505653244e+33       1.132936685446e+34       5.082010102269e+43       1.694003367423e+43       5.082010102269e+43       1.694003367423e+43       5.082010102269e+43       1.694003367423e+43       3.421715905403e-08       1.522639321645e+44       5.248323298063e+44       5.248323298063e+44       1.749441099310e+44      -1.695139214686e+53       9.698760145910e-07       1.791957019455e+01 
       9.391495722125e+13       7.218459604203e-26       4.156390787102e-09       2.259182674507e+22       1.389086530606e+04       1.479089776226e-10       1.304560020985e+18       2.400063812657e-09       2.140514292293e+44       2.030564607016e+33       1.109474252871e+34       4.942169564099e+43       1.647389854700e+43       4.942169564099e+43       1.647389854700e+43       4.942169564099e+43       1.647389854700e+43       3.421715905403e-08       1.480741195137e+44       5.103906356791e+44       5.103906356791e+44       1.701302118887e+44      -1.637035200702e+53       1.091110516415e-06       1.592850683960e+01 
