# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_ncdm[2]        17:(.)p_ncdm[2]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       1.000000000000e+14       6.369827684616e-26       3.905370249413e-09       2.560166409810e+22       1.379901141108e+04       1.379901141108e-10       1.379901141108e+18       2.255127897067e-09       2.751560535470e+44       2.474533724663e+33       1.360548488542e+34       6.331470950076e+43       2.110490316692e+43       6.331470950076e+43       2.110490316692e+43       6.331470950076e+43       2.110490316692e+43       3.449631827055e-08       1.903450225265e+44       6.554452045919e+44       6.554452045919e+44       2.184817348586e+44      -2.237398394968e+53       8.549032899133e-20       2.000000000000e+14 
       9.930486593843e+13       6.459317393757e-26       3.932655090466e-09       2.524696942465e+22       1.379901141108e+04       1.389560449095e-10       1.370308978260e+18       2.270913792346e-09       2.675846458098e+44       2.423287629965e+33       1.332372353382e+34       6.157249276517e+43       2.052416425506e+43       6.157249276517e+43       2.052416425506e+43       6.157249276517e+43       2.052416425506e+43       3.449631827055e-08       1.851073410083e+44       6.374094651294e+44       6.374094651294e+44       2.124698217046e+44      -2.160707450353e+53       1.192695026488e-07       1.433565615564e+02 
       9.861456399050e+13       6.550064343822e-26       3.961758920923e-09       2.489718881894e+22       1.379901141108e+04       1.399287372239e-10       1.360783493803e+18       2.286810188893e-09       2.602215788102e+44       2.373102810849e+33       1.304779728915e+34       5.987821621879e+43       1.995940540626e+43       5.987821621879e+43       1.995940540626e+43       5.987821621879e+43       1.995940540626e+43       3.449631827055e-08       1.800137836039e+44       6.198700110859e+44       6.198700110859e+44       2.066233370235e+44      -2.086645228901e+53       2.385390052974e-07       7.167828077820e+01 
       9.792906056653e+13       6.642086197788e-26       3.989043761976e-09       2.455225419969e+22       1.379901141108e+04       1.409082383845e-10       1.351324224234e+18       2.302817860215e-09       2.530611196824e+44       2.323957288943e+33       1.277758530989e+34       5.823056070214e+43       1.941018690071e+43       5.823056070214e+43       1.941018690071e+43       5.823056070214e+43       1.941018690071e+43       3.449631827055e-08       1.750603844822e+44       6.028131862862e+44       6.028131862862e+44       2.009377287570e+44      -2.015121626292e+53       3.578085079461e-07       4.778552051881e+01 
       9.724832231036e+13       6.735400866781e-26       4.016328603029e-09       2.421209842886e+22       1.379901141108e+04       1.418945960532e-10       1.341930709269e+18       2.318937585236e-09       2.460976933110e+44       2.275829541029e+33       1.251296925706e+34       5.662824335475e+43       1.887608111825e+43       5.662824335475e+43       1.887608111825e+43       5.662824335475e+43       1.887608111825e+43       3.449631827055e-08       1.702432869390e+44       5.862257103290e+44       5.862257103290e+44       1.954085701047e+44      -1.946049626695e+53       4.770780105947e-07       3.583914038911e+01 
       9.657231609767e+13       6.830026513558e-26       4.045432433486e-09       2.387665529858e+22       1.379901141108e+04       1.428878582255e-10       1.332602491826e+18       2.335170148333e-09       2.393258779894e+44       2.228698489625e+33       1.225383324242e+34       5.507001661632e+43       1.835667220544e+43       5.507001661632e+43       1.835667220544e+43       5.507001661632e+43       1.835667220544e+43       3.449631827055e-08       1.655587403942e+44       5.700946682471e+44       5.700946682471e+44       1.900315560775e+44      -1.879345196910e+53       5.963475132434e-07       2.867131231128e+01 
       9.590100903443e+13       6.925981556047e-26       4.072717274539e-09       2.354585951821e+22       1.379901141108e+04       1.438880732331e-10       1.323339118000e+18       2.351516339371e-09       2.327404011992e+44       2.182543493751e+33       1.200006377769e+34       5.355466725541e+43       1.785155575180e+43       5.355466725541e+43       1.785155575180e+43       5.355466725541e+43       1.785155575180e+43       3.449631827055e-08       1.610030974715e+44       5.544075004512e+44       5.544075004512e+44       1.848025001457e+44      -1.814927184126e+53       7.156170158920e-07       2.389276025940e+01 
       9.523436845525e+13       7.023284670928e-26       4.101821104996e-09       2.321964670170e+22       1.379901141108e+04       1.448952897457e-10       1.314140137041e+18       2.367976953747e-09       2.263361355047e+44       2.137344339886e+33       1.175154972488e+34       5.208101542478e+43       1.736033847493e+43       5.208101542478e+43       1.736033847493e+43       5.208101542478e+43       1.736033847493e+43       3.449631827055e-08       1.565728111588e+44       5.391519929517e+44       5.391519929517e+44       1.797173309793e+44      -1.752717217197e+53       8.348865185406e-07       2.047950879377e+01 
       9.457236192179e+13       7.121954797270e-26       4.130924935453e-09       2.289795335502e+22       1.379901141108e+04       1.459095567740e-10       1.305005101331e+18       2.384552792423e-09       2.201080945604e+44       2.093081233122e+33       1.150818224758e+34       5.064791374280e+43       1.688263791427e+43       5.064791374280e+43       1.688263791427e+43       5.064791374280e+43       1.688263791427e+43       3.449631827055e-08       1.522644320461e+44       5.243162678485e+44       5.243162678485e+44       1.747720892783e+44      -1.692639611290e+53       9.541560211892e-07       1.791957019455e+01 
       9.391495722125e+13       7.222011140217e-26       4.158209776506e-09       2.258071686380e+22       1.379901141108e+04       1.469309236714e-10       1.295933566367e+18       2.401244661970e-09       2.140514292293e+44       2.049734788491e+33       1.126985476334e+34       4.925424640007e+43       1.641808213336e+43       4.925424640007e+43       1.641808213336e+43       4.925424640007e+43       1.641808213336e+43       3.449631827055e-08       1.480746056402e+44       5.098887740830e+44       5.098887740830e+44       1.699629246899e+44      -1.634621275810e+53       1.073425523838e-06       1.592850683960e+01 
